동명,주차장수,면적,인구수,생활유동인구,자동차등록,대중교통,사업체현황
미아동,7270,93,21997,852854,4830,671130,4748
반포1동,13748,100,34815,1424312,11692,520671,5824
반포2동,8337,135,15801,1044542,5847,294568,1014
반포3동,6986,128,22245,974059,7837,280608,2844
반포4동,18312,143,19807,2866314,7046,2420846,9304
반포본동,2343,101,2000,305240,2362,116658,1626
발산1동,26315,294,36572,1551284,13878,629136,12366
방배1동,8479,70,16980,1008975,7371,558463,5156
방배2동,9480,193,19474,832284,6250,282061,5898
방배3동,8552,240,18861,580400,7073,743573,4328
방배4동,10672,98,23817,1359110,7902,285472,6780
방배본동,10835,67,21083,830284,8191,209772,4952
방이1동,7696,50,15766,978181,6826,272534,3910
방이2동,13325,80,27015,1818519,7876,341515,10594
방학1동,13955,69,28912,1095657,10216,431400,6158
방학2동,5696,74,19867,388854,4880,139259,3336
방학3동,6864,262,27110,717991,8435,178336,2834
방화1동,18703,148,43181,1220774,15154,431243,7390
방화2동,14165,641,23656,1106062,10023,939869,7174
방화3동,8210,255,22924,646181,7419,211378,2552
번1동,6454,66,18717,981825,4736,1411382,5182
번2동,4289,95,15932,669882,3705,189702,1756
번3동,4823,110,16905,489037,4501,234887,2134
보광동,2552,71,14708,413205,3111,136804,2510
보라매동,8687,76,24918,564970,6144,320953,4190
보문동,5591,56,15766,771058,4442,340315,3606
부암동,3494,227,9782,579301,3179,273710,1786
북가좌1동,7814,55,18121,493471,7554,111227,2930
북가좌2동,9940,84,31893,1361555,8622,269569,5424
북아현동,8117,46,16236,702384,4465,211783,2348
불광1동,11733,313,38777,1103843,10440,503379,4760
불광2동,9415,138,27798,821097,6472,341866,3926
사근동,7382,110,13505,1260165,2270,565573,2878
사당1동,6343,79,23321,1041021,5524,259681,5024
사당2동,8578,275,28147,1432530,7997,1326372,4444
사당3동,8790,92,24548,539204,7137,156907,2876
사당4동,3842,38,14301,550033,3490,293151,1946
사당5동,5588,57,14558,402694,4212,120790,1770
사직동,14232,123,9636,1680713,7958,2075543,10442
삼각산동,12860,62,31470,759241,9426,150476,2654
삼선동,8223,92,23413,1207214,5748,1484413,5192
삼성1동,26088,194,13136,3191812,8378,1462513,14830
삼성2동,21986,124,30692,2047310,12080,826414,13274
삼성동,6124,266,22041,643267,6120,358207,2922
삼양동,6749,91,23802,784209,5972,346231,3124
삼전동,13062,95,30695,1191094,8944,191342,5894
삼청동,1840,149,2739,285699,789,135876,1998
상계10동,7150,80,18731,407389,5355,153483,1480
상계1동,13808,562,38275,1309025,13770,529098,7850
상계2동,9622,61,20143,1768863,6154,1384714,7000
상계3.4동,10032,505,26268,825315,8076,287268,3486
상계5동,2728,101,24077,649777,5907,602865,5396
상계6.7동,12468,111,32774,2184183,8990,288850,5328
상계8동,4379,67,22598,766564,6529,356647,1476
상계9동,7052,81,20529,640283,5802,126109,1992
상도1동,16686,151,45485,1600247,12530,1407076,5314
상도2동,13084,98,28362,930623,8296,556204,3920
상도3동,5953,60,24846,539204,5762,202540,3232
상도4동,7229,75,28914,850176,6920,190347,3218
상봉1동,12135,88,24190,519782,8137,159745,3964
상봉2동,9438,65,20647,1367191,5443,910997,6794
상암동,10454,840,31473,2493971,11370,1284413,8328
상일1동,10851,319,49129,1824660,14305,563697,3052
서강동,22502,145,25600,1263407,7654,642009,5642
서교동,6758,165,26549,4994311,8460,4658621,27286
서림동,5830,99,23689,499131,5507,254085,3042
서빙고동,6524,280,13912,842883,4689,201416,1498
서원동,6766,65,23278,1027634,5054,2526421,3848
서초1동,18274,142,20711,1768927,16814,1408903,12162
서초2동,17150,124,26595,2428912,9900,2806198,17784
서초3동,31193,293,32769,4637340,15292,1845665,25042
서초4동,18615,88,31089,2283233,11850,396763,9330
석관동,10819,173,35829,922165,9738,783701,6110
석촌동,15249,95,32169,1601714,9988,775715,8376
성내1동,8582,58,20045,1181216,8286,389908,6060
성내2동,7956,67,24106,1222309,6502,1522687,5266
성내3동,10846,71,23346,1670955,7122,119840,6642
성북동,7425,286,17026,1194373,4813,333660,3686
성산1동,4854,80,19246,934530,6327,201880,5392
성산2동,11061,207,39909,1484426,11346,757711,6912
성수1가1동,7596,197,16814,887376,10765,374743,5952
성수1가2동,9280,89,12874,1102001,6465,735286,9208
성수2가1동,8383,117,16279,1024085,8372,122620,7182
성수2가3동,16306,103,10985,2167300,7134,1155495,17686
성현동,11818,68,29394,712328,8363,256195,2650
세곡동,18198,636,43396,1466364,18782,430606,5218
소공동,14056,95,3367,2498346,3994,1818984,11254
송정동,3118,75,10915,336557,2783,59410,2064
송중동,9390,101,30035,1437907,6965,854146,6274
송천동,6387,90,26801,1123823,5807,1129700,5490
송파1동,11862,79,24176,1494799,7718,470840,6956
송파2동,8212,53,19283,635500,6722,80292,2722
수궁동,9687,267,23806,732179,8127,729338,3626
수색동,3863,129,12752,528518,4012,204771,1526
수서동,7563,143,14870,1209812,5261,966246,4652
수유1동,5667,167,20849,584185,5633,319774,4100
수유2동,7040,57,21421,776938,5375,288838,3718
수유3동,7223,72,23393,1264396,4984,612728,6658
숭인1동,1860,23,6106,324697,1481,97689,1436
숭인2동,3674,35,10175,804271,2200,665428,4684
시흥1동,14097,171,34533,1353596,11703,768071,8066
시흥2동,7570,126,21351,500213,7167,214183,1994
시흥3동,7747,107,10951,431014,4340,104888,7910
시흥4동,5754,87,20916,505966,6244,123572,2270
시흥5동,5572,139,19715,435608,5407,234624,3042
신길1동,4974,66,18755,784329,4923,479976,3052
신길3동,3608,52,17575,452362,4898,165653,2826
신길4동,2085,38,13089,394052,3681,81366,1226
신길5동,4101,47,11701,150995,3509,140882,1490
신길6동,5137,65,19869,928102,5314,464626,3374
신길7동,4334,64,20158,506797,6685,440910,1850
신내1동,15832,256,38649,1369654,12801,549887,5792
신내2동,8220,93,20529,649691,6917,163819,2990
신당5동,2975,39,10708,446171,2973,126066,3108
신당동,7755,55,9095,1444169,3440,710530,27206
신대방1동,8169,62,24999,588801,7645,157398,2920
신대방2동,12266,103,21404,1338873,5643,392549,3688
신도림동,20486,147,36342,1493607,12683,1800745,7724
